test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_019672	XLOC_019672	VIT_03s0063g01310	3:4768404-4772030	Black_FruitPeel	White_FruitPeel	OK	50.0465	0.142758	-8.45356	-7.02479	0.008	0.0230065	yes
XLOC_008524	XLOC_008524	VIT_14s0030g00140	14:3789949-3891155	Black_FruitPeel	White_FruitPeel	OK	72.5609	0.3745	-7.59808	-4.81385	0.00005	0.000248658	yes
XLOC_021380	XLOC_021380	VIT_04s0079g00690	4:11503850-11507357	Black_FruitPeel	White_FruitPeel	OK	2163.19	11.502	-7.55513	-28.6661	0.00005	0.000248658	yes
XLOC_023739	XLOC_023739	VIT_06s0004g01250	6:1440119-1443717	Black_FruitPeel	White_FruitPeel	OK	98.7278	0.5476	-7.49419	-12.4167	0.00005	0.000248658	yes
XLOC_019671	XLOC_019671	VIT_03s0063g01290	3:4754817-4756280	Black_FruitPeel	White_FruitPeel	OK	580.842	4.00155	-7.18144	-26.8963	0.00005	0.000248658	yes
XLOC_019340	XLOC_019340	VIT_03s0017g00870	3:16023962-16025246	Black_FruitPeel	White_FruitPeel	OK	57.7031	0.410809	-7.13404	-10.5724	0.00005	0.000248658	yes
XLOC_011571	XLOC_011571	VIT_16s0039g02230	16:2314339-2334679	Black_FruitPeel	White_FruitPeel	OK	353.08	2.91053	-6.92257	-6.62679	0.00005	0.000248658	yes
XLOC_018068	XLOC_018068	VIT_02s0033g01070	2:16244696-16247432	Black_FruitPeel	White_FruitPeel	OK	41.2351	0.3528	-6.86888	-8.83545	0.0003	0.00127912	yes
XLOC_016273	XLOC_016273	VIT_19s0014g04050	19:4296792-4304803	Black_FruitPeel	White_FruitPeel	OK	4.55931	0.0406129	-6.81073	-2.23566	0.0104	0.0287788	yes
XLOC_003337	XLOC_003337	VIT_11s0052g01730	11:19555139-19559165	Black_FruitPeel	White_FruitPeel	OK	53.4276	0.490393	-6.7675	-14.3809	0.00005	0.000248658	yes
XLOC_018015	XLOC_018015	VIT_02s0012g02690,VIT_02s0012g02700	2:10443901-10503907	Black_FruitPeel	White_FruitPeel	OK	405.202	4.19915	-6.5924	-8.7281	0.00005	0.000248658	yes
XLOC_021971	XLOC_021971	VIT_05s0077g02020	5:1571721-1573179	Black_FruitPeel	White_FruitPeel	OK	228.096	2.40994	-6.5645	-18.1922	0.00005	0.000248658	yes
XLOC_008502	XLOC_008502	VIT_14s0128g00570	14:3159737-3160725	Black_FruitPeel	White_FruitPeel	OK	23.79	0.270237	-6.45998	-5.921	0.0152	0.0396225	yes
XLOC_015507	XLOC_015507	VIT_18s0089g00450,VIT_18s0089g00460	18:28259103-28273736	Black_FruitPeel	White_FruitPeel	OK	15.3499	0.179391	-6.41897	-2.77372	0.00255	0.0085464	yes
XLOC_018557	XLOC_018557	VIT_02s0033g00410	2:14239791-14240808	Black_FruitPeel	White_FruitPeel	OK	174.703	2.05456	-6.40993	-15.4828	0.00005	0.000248658	yes
XLOC_028094	XLOC_028094	VIT_08s0007g02240	8:16261363-16265961	Black_FruitPeel	White_FruitPeel	OK	93.5342	1.36553	-6.09796	-16.195	0.00005	0.000248658	yes
XLOC_019284	XLOC_019284	VIT_03s0167g00190	3:12545431-12547480	Black_FruitPeel	White_FruitPeel	OK	14.2057	0.210585	-6.07592	-6.82119	0.00225	0.00765596	yes
XLOC_000877	XLOC_000877	VIT_01s0011g02390	1:2147400-2148062	Black_FruitPeel	White_FruitPeel	OK	39.5003	0.597209	-6.04748	-7.37668	0.0105	0.029031	yes
XLOC_004823	XLOC_004823	VIT_12s0035g02120	12:22478760-22484837	Black_FruitPeel	White_FruitPeel	OK	14.9306	0.228454	-6.03023	-5.62159	0.00005	0.000248658	yes
XLOC_015441	XLOC_015441	VIT_18s0041g01520	18:26190806-26361843	Black_FruitPeel	White_FruitPeel	OK	6.7796	0.118915	-5.8332	-5.65847	0.00345	0.0111561	yes
