test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
XLOC_019672	XLOC_019672	VIT_03s0063g01310	3:4768404-4772030	Red_FruitPeel	White_FruitPeel	OK	39.6433	0.142758	-8.11736	-6.7444	0.008	0.0230065	yes
XLOC_011571	XLOC_011571	VIT_16s0039g02230	16:2314339-2334679	Red_FruitPeel	White_FruitPeel	OK	447.112	2.91053	-7.26321	-6.96012	0.00005	0.000248658	yes
XLOC_015507	XLOC_015507	VIT_18s0089g00450,VIT_18s0089g00460	18:28259103-28273736	Red_FruitPeel	White_FruitPeel	OK	26.7838	0.179391	-7.2221	-3.12204	0.00225	0.00765596	yes
XLOC_021380	XLOC_021380	VIT_04s0079g00690	4:11503850-11507357	Red_FruitPeel	White_FruitPeel	OK	1498.18	11.502	-7.02518	-26.7373	0.00005	0.000248658	yes
XLOC_020461	XLOC_020461	VIT_04s0008g04910	4:4389208-4409570	Red_FruitPeel	White_FruitPeel	OK	28.7404	0.226231	-6.98914	-6.65056	0.01825	0.0461074	yes
XLOC_006022	XLOC_006022	VIT_13s0019g05010,VIT_13s0019g05070	13:6787890-6818241	Red_FruitPeel	White_FruitPeel	OK	88.6064	0.976184	-6.50411	-16.731	0.00005	0.000248658	yes
XLOC_019671	XLOC_019671	VIT_03s0063g01290	3:4754817-4756280	Red_FruitPeel	White_FruitPeel	OK	279.948	4.00155	-6.12846	-22.911	0.00005	0.000248658	yes
XLOC_023245	XLOC_023245	VIT_05s0062g01100	5:19746229-19750105	Red_FruitPeel	White_FruitPeel	OK	4.27412	0.0646456	-6.04693	-5.88183	0.0138	0.036591	yes
XLOC_011859	XLOC_011859	VIT_16s0100g01190	16:16698040-16699922	Red_FruitPeel	White_FruitPeel	OK	12.9773	0.213314	-5.92687	-6.56228	0.0034	0.0110089	yes
XLOC_019340	XLOC_019340	VIT_03s0017g00870	3:16023962-16025246	Red_FruitPeel	White_FruitPeel	OK	24.4593	0.410809	-5.89577	-8.69497	0.00005	0.000248658	yes
XLOC_026062	XLOC_026062	VIT_07s0104g01260	7:2279679-2285668	Red_FruitPeel	White_FruitPeel	OK	10.1324	0.175378	-5.85236	-4.62695	0.00735	0.0214069	yes
XLOC_004327	XLOC_004327	VIT_12s0059g00760	12:5568641-5571313	Red_FruitPeel	White_FruitPeel	OK	77.9344	1.3508	-5.85037	-16.6993	0.00005	0.000248658	yes
XLOC_007095	XLOC_007095	VIT_13s0156g00590	13:24256824-24259251	Red_FruitPeel	White_FruitPeel	OK	16.2162	0.298084	-5.76557	-9.48043	0.00005	0.000248658	yes
XLOC_011260	XLOC_011260	VIT_16s0100g00780	16:16276569-16278316	Red_FruitPeel	White_FruitPeel	OK	18.972	0.354232	-5.74303	-7.35782	0.0002	0.000888169	yes
XLOC_014358	XLOC_014358	VIT_18s0117g00550	18:24019599-24022569	Red_FruitPeel	White_FruitPeel	OK	5.358	0.112432	-5.57457	-5.638	0.0073	0.0212886	yes
XLOC_011860	XLOC_011860	STS	16:16710106-16711898	Red_FruitPeel	White_FruitPeel	OK	29.7211	0.637708	-5.54245	-9.35875	0.00005	0.000248658	yes
XLOC_008524	XLOC_008524	VIT_14s0030g00140	14:3789949-3891155	Red_FruitPeel	White_FruitPeel	OK	16.9989	0.3745	-5.50433	-3.51363	0.00005	0.000248658	yes
XLOC_022971	XLOC_022971	VIT_05s0020g04380	5:6140680-6143903	Red_FruitPeel	White_FruitPeel	OK	8.71209	0.213189	-5.35281	-8.72225	0.00005	0.000248658	yes
XLOC_011851	XLOC_011851	VIT_16s0100g01100	16:16555714-16557501	Red_FruitPeel	White_FruitPeel	OK	29.818	0.736894	-5.33858	-9.83431	0.00005	0.000248658	yes
XLOC_000275	XLOC_000275	VIT_01s0011g05930	1:5687008-5688875	Red_FruitPeel	White_FruitPeel	OK	11.267	0.291915	-5.27041	-5.57214	0.0019	0.00659678	yes
XLOC_015344	XLOC_015344	VIT_18s0117g00270	18:23508688-23509934	Red_FruitPeel	White_FruitPeel	OK	20.295	0.567651	-5.15998	-7.10412	0.00005	0.000248658	yes
XLOC_018581	XLOC_018581	VIT_02s0033g00870	2:15588024-15590439	Red_FruitPeel	White_FruitPeel	OK	35.5741	1.01504	-5.13122	-10.5452	0.00005	0.000248658	yes
XLOC_004823	XLOC_004823	VIT_12s0035g02120	12:22478760-22484837	Red_FruitPeel	White_FruitPeel	OK	7.84862	0.228454	-5.10246	-4.73489	0.00005	0.000248658	yes
XLOC_011257	XLOC_011257	VIT_16s0100g00750	16:16238964-16240683	Red_FruitPeel	White_FruitPeel	OK	40.3998	1.19298	-5.08171	-11.3011	0.00005	0.000248658	yes
XLOC_029352	XLOC_029352	VIT_09s0002g01790	9:1601990-1603374	Red_FruitPeel	White_FruitPeel	OK	48.3453	1.43688	-5.07236	-0.644461	0.00075	0.00291026	yes
XLOC_008502	XLOC_008502	VIT_14s0128g00570	14:3159737-3160725	Red_FruitPeel	White_FruitPeel	OK	8.97918	0.270237	-5.05428	-4.60476	0.0152	0.0396225	yes
XLOC_016144	XLOC_016144	VIT_19s0014g01370	19:1451161-1452750	Red_FruitPeel	White_FruitPeel	OK	73.048	2.26505	-5.01123	-15.7265	0.00005	0.000248658	yes
XLOC_000815	XLOC_000815	VIT_01s0011g00760	1:679669-685040	Red_FruitPeel	White_FruitPeel	OK	5.19698	0.163293	-4.99214	-5.39638	0.004	0.0126692	yes
XLOC_018660	XLOC_018660	VIT_02s0087g00930	2:18588852-18590786	Red_FruitPeel	White_FruitPeel	OK	13.7693	0.439481	-4.96951	-8.47691	0.00005	0.000248658	yes
XLOC_013047	XLOC_013047	VIT_17s0000g03380	17:3256446-3260298	Red_FruitPeel	White_FruitPeel	OK	5.33146	0.173381	-4.94251	-4.59432	0.0008	0.00308163	yes
XLOC_018557	XLOC_018557	VIT_02s0033g00410	2:14239791-14240808	Red_FruitPeel	White_FruitPeel	OK	62.4839	2.05456	-4.92658	-11.808	0.00005	0.000248658	yes
XLOC_009846	XLOC_009846	VIT_15s0048g00510	15:14632319-14634885	Red_FruitPeel	White_FruitPeel	OK	14.6445	0.481958	-4.92531	-7.79405	0.00005	0.000248658	yes
XLOC_013265	XLOC_013265	VIT_17s0000g08430,VIT_17s0000g08440	17:9616858-9620044	Red_FruitPeel	White_FruitPeel	OK	28.6253	0.942104	-4.92526	-2.77408	0.0107	0.0294806	yes
XLOC_019392	XLOC_019392	VIT_03s0017g02110	3:18787663-18790266	Red_FruitPeel	White_FruitPeel	OK	17.3184	0.607985	-4.83213	-9.17086	0.00005	0.000248658	yes
XLOC_022909	XLOC_022909	MSS1	5:4867438-4873454	Red_FruitPeel	White_FruitPeel	OK	34.9197	1.23408	-4.82253	-12.5546	0.00005	0.000248658	yes
XLOC_012830	XLOC_012830	VIT_17s0000g10080	17:12229788-12257298	Red_FruitPeel	White_FruitPeel	OK	2.90368	0.104601	-4.79491	-4.33526	0.00185	0.00644627	yes
XLOC_011269	XLOC_011269	VIT_16s0050g00010	16:16848277-16852342	Red_FruitPeel	White_FruitPeel	OK	74.7502	2.70828	-4.78663	-14.9993	0.00005	0.000248658	yes
XLOC_003498	XLOC_003498	VIT_11s0016g03750	11:3060932-3072065	Red_FruitPeel	White_FruitPeel	OK	25.1069	0.917164	-4.77476	-13.597	0.00005	0.000248658	yes
XLOC_016653	XLOC_016653	VIT_19s0027g01230	19:21188376-21191382	Red_FruitPeel	White_FruitPeel	OK	3.51379	0.133795	-4.71493	-4.72469	0.00095	0.00358767	yes
XLOC_012025	XLOC_012025	VIT_16s0098g00130	16:20556425-20590853	Red_FruitPeel	White_FruitPeel	OK	10.5445	0.40853	-4.68991	-2.10973	0.00425	0.0133523	yes
XLOC_026946	XLOC_026946	VIT_08s0032g00240	8:3263120-3264913	Red_FruitPeel	White_FruitPeel	OK	80.5326	3.12982	-4.68542	-17.3174	0.00005	0.000248658	yes
XLOC_011259	XLOC_011259	VIT_16s0100g00770	16:16268743-16270610	Red_FruitPeel	White_FruitPeel	OK	7.03892	0.280249	-4.65057	-5.71148	0.00005	0.000248658	yes
XLOC_028294	XLOC_028294	VIT_08s0007g06070	8:19878172-19880417	Red_FruitPeel	White_FruitPeel	OK	3.30573	0.134841	-4.61564	-5.60332	0.00105	0.00391431	yes
XLOC_024252	XLOC_024252	VIT_06s0009g03280	6:16499127-16502225	Red_FruitPeel	White_FruitPeel	OK	4.44912	0.183269	-4.60149	-1.752	0.0036	0.0115778	yes
XLOC_027757	XLOC_027757	PUB24	8:7180689-7182105	Red_FruitPeel	White_FruitPeel	OK	4.54083	0.189934	-4.57939	-4.20141	0.0076	0.0220179	yes
XLOC_001092	XLOC_001092	VIT_01s0137g00520	1:7007864-7024610	Red_FruitPeel	White_FruitPeel	OK	10.6919	0.447559	-4.57829	-7.17596	0.00005	0.000248658	yes
XLOC_011262	XLOC_011262	VIT_16s0100g00910	16:16398233-16399992	Red_FruitPeel	White_FruitPeel	OK	7.0683	0.296489	-4.57531	-5.3367	0.00015	0.000683796	yes
XLOC_015435	XLOC_015435	VIT_18s0041g01470	18:26190806-26361843	Red_FruitPeel	White_FruitPeel	OK	11.9358	0.521033	-4.51778	-1.95025	0.0001	0.000471836	yes
XLOC_007630	XLOC_007630	VIT_14s0128g00520	14:3125731-3127677	Red_FruitPeel	White_FruitPeel	OK	5.71661	0.253303	-4.49622	-4.57936	0.0145	0.0381036	yes
XLOC_018518	XLOC_018518	VIT_02s0012g02810,VIT_02s0012g02820	2:10784812-10835365	Red_FruitPeel	White_FruitPeel	OK	14.2916	0.633551	-4.49557	-7.93072	0.00005	0.000248658	yes
XLOC_014847	XLOC_014847	VIT_18s0001g09400	18:7880334-7881000	Red_FruitPeel	White_FruitPeel	OK	126.254	5.62119	-4.48932	-11.8672	0.00005	0.000248658	yes
XLOC_020241	XLOC_020241	VIT_04s0008g00300	4:212860-224640	Red_FruitPeel	White_FruitPeel	OK	2.17955	0.097818	-4.47779	-5.01753	0.004	0.0126692	yes
XLOC_008483	XLOC_008483	VIT_14s0128g00110	14:2775387-2776828	Red_FruitPeel	White_FruitPeel	OK	8.40177	0.381269	-4.46181	-5.67574	0.00015	0.000683796	yes
XLOC_005159	XLOC_005159	ATGEX1	12:8943828-8946035	Red_FruitPeel	White_FruitPeel	OK	31.0619	1.45711	-4.41397	-12.183	0.00005	0.000248658	yes
XLOC_011858	XLOC_011858	VIT_16s0100g01170	16:16682548-16684265	Red_FruitPeel	White_FruitPeel	OK	8.54508	0.401219	-4.41263	-5.9104	0.00005	0.000248658	yes
XLOC_011847	XLOC_011847	VIT_16s0100g01020	16:16503610-16505168	Red_FruitPeel	White_FruitPeel	OK	5.14471	0.243186	-4.40296	-4.01095	0.0077	0.0222705	yes
XLOC_016791	XLOC_016791	VIT_19s0014g01180	19:1320869-1322992	Red_FruitPeel	White_FruitPeel	OK	43.0851	2.0507	-4.393	-9.65092	0.00005	0.000248658	yes
XLOC_024278	XLOC_024278	VIT_06s0061g00120	6:17352204-17354052	Red_FruitPeel	White_FruitPeel	OK	12.6272	0.624234	-4.3383	-6.85708	0.00005	0.000248658	yes
XLOC_021651	XLOC_021651	CALS5	4:22776214-22794935	Red_FruitPeel	White_FruitPeel	OK	3.6187	0.180447	-4.32583	-5.8146	0.00005	0.000248658	yes
XLOC_027384	XLOC_027384	VIT_08s0007g03140	8:17161067-17166115	Red_FruitPeel	White_FruitPeel	OK	1.77369	0.0932724	-4.24916	-3.93802	0.0145	0.0381036	yes
XLOC_022740	XLOC_022740	VIT_05s0077g01540	5:1239416-1240018	Red_FruitPeel	White_FruitPeel	OK	26.4424	1.42282	-4.21602	-5.39051	0.0003	0.00127912	yes
XLOC_015054	XLOC_015054	VIT_18s0001g13790	18:11779262-11781156	Red_FruitPeel	White_FruitPeel	OK	42.8531	2.34927	-4.18911	-14.2819	0.00005	0.000248658	yes
XLOC_016304	XLOC_016304	VIT_19s0014g04830	19:5167088-5172519	Red_FruitPeel	White_FruitPeel	OK	6.59771	0.361844	-4.18852	-4.59096	0.00005	0.000248658	yes
XLOC_025588	XLOC_025588	VIT_07s0005g05720,VIT_07s0005g05770	7:10001266-10098046	Red_FruitPeel	White_FruitPeel	OK	11.6625	0.642131	-4.18286	-5.3159	0.00005	0.000248658	yes
XLOC_012761	XLOC_012761	RKF2	17:10011248-10015757	Red_FruitPeel	White_FruitPeel	OK	7.37045	0.409391	-4.1702	-7.79941	0.00005	0.000248658	yes
XLOC_011841	XLOC_011841	VIT_16s0100g00950	16:16430832-16431392	Red_FruitPeel	White_FruitPeel	OK	30.337	1.7113	-4.14792	-7.33992	0.00005	0.000248658	yes
XLOC_009258	XLOC_009258	VIT_14s0108g00900	14:29558438-29560579	Red_FruitPeel	White_FruitPeel	OK	3.98288	0.225113	-4.14509	-4.03135	0.00005	0.000248658	yes
XLOC_011648	XLOC_011648	VIT_16s0013g00890	16:6600847-6601955	Red_FruitPeel	White_FruitPeel	OK	21.6109	1.22225	-4.14414	-7.73352	0.00005	0.000248658	yes
XLOC_009823	XLOC_009823	VIT_15s0048g00070	15:13939519-14197080	Red_FruitPeel	White_FruitPeel	OK	2.96978	0.168111	-4.14287	-2.3001	0.01235	0.0333247	yes
XLOC_011970	XLOC_011970	VIT_16s0050g02220	16:19180653-19188753	Red_FruitPeel	White_FruitPeel	OK	7.80628	0.453773	-4.10459	-5.16292	0.0002	0.000888169	yes
XLOC_011845	XLOC_011845	VIT_16s0100g01000	16:16475778-16478738	Red_FruitPeel	White_FruitPeel	OK	24.4634	1.42719	-4.09938	-9.91833	0.00005	0.000248658	yes
XLOC_003214	XLOC_003214	VIT_11s0065g00670	11:14626871-14629682	Red_FruitPeel	White_FruitPeel	OK	5.62298	0.343562	-4.03269	-1.77913	0.00005	0.000248658	yes
XLOC_001687	XLOC_001687	VIT_10s0116g00960	10:461037-466924	Red_FruitPeel	White_FruitPeel	OK	13.2784	0.814013	-4.02789	-6.68639	0.00005	0.000248658	yes
XLOC_001733	XLOC_001733	ANAC010	10:1629343-1632889	Red_FruitPeel	White_FruitPeel	OK	7.36052	0.455446	-4.01446	-6.00065	0.00005	0.000248658	yes
XLOC_004675	XLOC_004675	VIT_12s0034g01310	12:17283576-17321046	Red_FruitPeel	White_FruitPeel	OK	37.8315	2.34935	-4.00925	-10.1074	0.00005	0.000248658	yes
XLOC_027934	XLOC_027934	VIT_08s0040g02170	8:13284179-13288419	Red_FruitPeel	White_FruitPeel	OK	10.8979	0.677042	-4.00867	-9.05941	0.00005	0.000248658	yes
XLOC_009812	XLOC_009812	VIT_15s0021g02700	15:13735913-13737731	Red_FruitPeel	White_FruitPeel	OK	1022.58	63.5715	-4.0077	-20.0909	0.00005	0.000248658	yes
XLOC_003561	XLOC_003561	VIT_11s0016g05540	11:4932373-4933547	Red_FruitPeel	White_FruitPeel	OK	36.9165	2.30469	-4.00162	-9.23698	0.00005	0.000248658	yes
XLOC_028219	XLOC_028219	VIT_08s0007g04560	8:18472920-18476769	Red_FruitPeel	White_FruitPeel	OK	0.202346	3.23783	4.00013	2.67759	0.00315	0.0102873	yes
XLOC_003376	XLOC_003376	VIT_11s0016g00960	11:814149-817167	Red_FruitPeel	White_FruitPeel	OK	0.609927	9.84574	4.01279	9.06405	0.00005	0.000248658	yes
XLOC_002229	XLOC_002229	VIT_10s0003g00220	10:1495218-1496277	Red_FruitPeel	White_FruitPeel	OK	0.426639	6.99568	4.03537	4.53162	0.00095	0.00358767	yes
XLOC_020025	XLOC_020025	VIT_03s0017g01470,VIT_03s0017g01490	3:17468751-17486877	Red_FruitPeel	White_FruitPeel	OK	2.48561	40.8178	4.03753	12.874	0.00005	0.000248658	yes
XLOC_003506	XLOC_003506	AT-HSFC1	11:3224067-3225265	Red_FruitPeel	White_FruitPeel	OK	0.986651	16.2331	4.04025	7.04133	0.00005	0.000248658	yes
XLOC_009104	XLOC_009104	VIT_14s0066g00120	14:26682480-26686575	Red_FruitPeel	White_FruitPeel	OK	0.103167	1.69796	4.04076	3.79317	0.0071	0.0207843	yes
XLOC_012929	XLOC_012929	VIT_17s0000g00950	17:696675-699560	Red_FruitPeel	White_FruitPeel	OK	0.397452	6.58119	4.04949	5.87116	0.00005	0.000248658	yes
XLOC_005288	XLOC_005288	VIT_12s0034g00060	12:15441441-15443073	Red_FruitPeel	White_FruitPeel	OK	0.384839	6.38549	4.05247	5.77605	0.00005	0.000248658	yes
XLOC_004665	XLOC_004665	VIT_12s0034g01120	12:17015835-17017479	Red_FruitPeel	White_FruitPeel	OK	0.250341	4.16407	4.05603	4.58411	0.00065	0.00255986	yes
XLOC_001856	XLOC_001856	VIT_10s0003g02900	10:5026577-5027393	Red_FruitPeel	White_FruitPeel	OK	21.0936	353.78	4.06798	17.5755	0.00005	0.000248658	yes
XLOC_003419	XLOC_003419	RPS2	11:1505942-1509115	Red_FruitPeel	White_FruitPeel	OK	0.102369	1.72682	4.07627	3.4196	0.00095	0.00358767	yes
XLOC_009181	XLOC_009181	VIT_14s0066g02060	14:28318003-28319797	Red_FruitPeel	White_FruitPeel	OK	0.20168	3.41926	4.08354	4.55284	0.00035	0.00147214	yes
XLOC_010128	XLOC_010128	VIT_15s0024g00730	15:1305407-1308910	Red_FruitPeel	White_FruitPeel	OK	0.114102	1.93869	4.08668	3.03022	0.0104	0.0287788	yes
XLOC_002420	XLOC_002420	VIT_10s0003g05280	10:9773934-9776494	Red_FruitPeel	White_FruitPeel	OK	0.143581	2.4745	4.1072	1.56464	0.01885	0.0472777	yes
XLOC_008525	XLOC_008525	VIT_14s0030g00150	14:3789949-3891155	Red_FruitPeel	White_FruitPeel	OK	0.529148	9.30231	4.13585	1.24311	0.01585	0.0410634	yes
XLOC_006458	XLOC_006458	VIT_13s0067g02300	13:1283713-1285564	Red_FruitPeel	White_FruitPeel	OK	6.29977	113.086	4.16597	9.45911	0.00005	0.000248658	yes
XLOC_017810	XLOC_017810	VIT_02s0025g04270	2:3796858-3797681	Red_FruitPeel	White_FruitPeel	OK	2.70459	49.9283	4.20638	8.83492	0.00005	0.000248658	yes
XLOC_019096	XLOC_019096	VIT_03s0063g01690	3:5037197-5041153	Red_FruitPeel	White_FruitPeel	OK	0.680138	12.5741	4.20848	10.4016	0.00005	0.000248658	yes
XLOC_028821	XLOC_028821	VIT_09s0002g04240	9:3881584-3885628	Red_FruitPeel	White_FruitPeel	OK	0.391132	7.26004	4.21425	6.91117	0.00005	0.000248658	yes
XLOC_021202	XLOC_021202	VIT_04s0008g04710	4:4157723-4160429	Red_FruitPeel	White_FruitPeel	OK	0.431486	8.07025	4.22523	7.36404	0.00005	0.000248658	yes
XLOC_024006	XLOC_024006	CYP86A1	6:7005632-7007477	Red_FruitPeel	White_FruitPeel	OK	0.513971	9.61879	4.2261	6.97922	0.00005	0.000248658	yes
XLOC_005394	XLOC_005394	VIT_12s0035g00140	12:19288323-19290237	Red_FruitPeel	White_FruitPeel	OK	0.337329	6.35559	4.2358	5.41686	0.00015	0.000683796	yes
XLOC_029791	XLOC_029791	VIT_09s0018g02140	9:20156478-20160876	Red_FruitPeel	White_FruitPeel	OK	0.277198	5.39695	4.28316	2.44598	0.00375	0.0119944	yes
XLOC_000920	XLOC_000920	VIT_01s0011g03400	1:3076981-3080343	Red_FruitPeel	White_FruitPeel	OK	0.498188	9.70014	4.28324	7.50574	0.00005	0.000248658	yes
XLOC_011745	XLOC_011745	EXL3	16:13411739-13412951	Red_FruitPeel	White_FruitPeel	OK	1.76912	35.3888	4.32219	9.70708	0.00005	0.000248658	yes
XLOC_020882	XLOC_020882	VIT_04s0210g00050	4:20445938-20454823	Red_FruitPeel	White_FruitPeel	OK	6.28631	125.84	4.32323	17.341	0.00005	0.000248658	yes
XLOC_000377	XLOC_000377	VIT_01s0127g00870	1:8251572-8253756	Red_FruitPeel	White_FruitPeel	OK	0.321444	6.51862	4.34193	6.17521	0.00005	0.000248658	yes
XLOC_013276	XLOC_013276	VIT_17s0000g08680	17:9949593-9959132	Red_FruitPeel	White_FruitPeel	OK	0.145757	2.98423	4.35572	5.60732	0.00005	0.000248658	yes
XLOC_028282	XLOC_028282	VIT_08s0007g05860	8:19734964-19736237	Red_FruitPeel	White_FruitPeel	OK	0.962571	19.7166	4.35637	4.24473	0.0001	0.000471836	yes
XLOC_014390	XLOC_014390	VIT_18s0041g00960	18:25355352-25460537	Red_FruitPeel	White_FruitPeel	OK	0.791999	16.5695	4.38689	4.30613	0.00005	0.000248658	yes
XLOC_013770	XLOC_013770	FBW2	18:4683614-4686537	Red_FruitPeel	White_FruitPeel	OK	0.215116	4.53447	4.39774	4.02936	0.0005	0.00202469	yes
XLOC_020762	XLOC_020762	DWF4,VIT_04s0023g01640	4:18166917-18171529	Red_FruitPeel	White_FruitPeel	OK	4.17321	88.462	4.40583	9.83985	0.00005	0.000248658	yes
XLOC_017233	XLOC_017233	VIT_19s0093g00220	19:16675463-16677093	Red_FruitPeel	White_FruitPeel	OK	1.47873	31.3723	4.40706	8.9056	0.00005	0.000248658	yes
XLOC_001480	XLOC_001480	GH3.17	1:22706261-22709247	Red_FruitPeel	White_FruitPeel	OK	0.5148	10.9663	4.41293	8.31051	0.00005	0.000248658	yes
XLOC_019638	XLOC_019638	VIT_03s0063g00790	3:4278626-4279584	Red_FruitPeel	White_FruitPeel	OK	0.29519	6.33011	4.42251	3.99109	0.01515	0.0395218	yes
XLOC_001709	XLOC_001709	PRXR1	10:1056784-1058642	Red_FruitPeel	White_FruitPeel	OK	20.5856	452.75	4.45901	20.8956	0.00005	0.000248658	yes
XLOC_022963	XLOC_022963	VIT_05s0020g04220	5:5884387-5899019	Red_FruitPeel	White_FruitPeel	OK	0.235201	5.18343	4.46194	10.7229	0.00005	0.000248658	yes
XLOC_001091	XLOC_001091	VIT_01s0137g00510	1:6998058-7007581	Red_FruitPeel	White_FruitPeel	OK	0.176739	3.90044	4.46395	4.64657	0.0007	0.0027369	yes
XLOC_027584	XLOC_027584	VIT_08s0007g08020	8:21390402-21390859	Red_FruitPeel	White_FruitPeel	OK	8.35959	187.352	4.48618	9.45434	0.00005	0.000248658	yes
XLOC_001234	XLOC_001234	VIT_01s0026g01950	1:11305005-11306990	Red_FruitPeel	White_FruitPeel	OK	2.45899	55.5182	4.49682	12.7217	0.00005	0.000248658	yes
XLOC_008937	XLOC_008937	VIT_14s0068g00030	14:23710281-23713253	Red_FruitPeel	White_FruitPeel	OK	0.219107	5.16014	4.5577	7.5286	0.00005	0.000248658	yes
XLOC_002251	XLOC_002251	VIT_10s0003g00620	10:1849805-1851972	Red_FruitPeel	White_FruitPeel	OK	1.35566	32.5155	4.58406	11.5417	0.00005	0.000248658	yes
XLOC_026405	XLOC_026405	VIT_07s0255g00030	7:14349792-14351491	Red_FruitPeel	White_FruitPeel	OK	0.200909	4.81959	4.58429	4.25967	0.00755	0.0218999	yes
XLOC_010030	XLOC_010030	VIT_15s0046g01360	15:18367275-18368467	Red_FruitPeel	White_FruitPeel	OK	2.55273	61.5324	4.59123	7.67325	0.00005	0.000248658	yes
XLOC_001065	XLOC_001065	VIT_01s0011g06580	1:6416828-6418898	Red_FruitPeel	White_FruitPeel	OK	1.06762	25.771	4.59328	8.039	0.00005	0.000248658	yes
XLOC_004246	XLOC_004246	VIT_12s0028g03120	12:3891876-3892934	Red_FruitPeel	White_FruitPeel	OK	0.638199	15.9279	4.64141	6.53209	0.00005	0.000248658	yes
XLOC_010435	XLOC_010435	VIT_15s0048g01590,VIT_15s0048g01600	15:15730370-15744038	Red_FruitPeel	White_FruitPeel	OK	0.10196	2.60868	4.67725	3.39219	0.0024	0.00809877	yes
XLOC_028965	XLOC_028965	VIT_09s0002g07760	9:8048355-8298586	Red_FruitPeel	White_FruitPeel	OK	0.341644	8.77759	4.68326	4.8084	0.00005	0.000248658	yes
XLOC_014165	XLOC_014165	VIT_18s0001g14980	18:12992479-12996562	Red_FruitPeel	White_FruitPeel	OK	0.497645	12.8404	4.68943	7.22388	0.00005	0.000248658	yes
XLOC_022954	XLOC_022954	VIT_05s0020g03970	5:5622652-5627062	Red_FruitPeel	White_FruitPeel	OK	1.0812	28.3315	4.7117	12.8473	0.00005	0.000248658	yes
